Designator,Mid X,Mid Y,Rotation,Layer
D1,211.875,-46.243843,90,bottom
D10,173.775,-60.531343,90,bottom
D11,154.725,-58.150093,90,bottom
D12,135.675,-60.531343,90,bottom
D13,116.625,-60.531343,90,bottom
D14,97.575,-65.293843,90,bottom
D15,211.875,-84.343843,90,bottom
D16,192.825,-84.343843,90,bottom
D17,173.775,-79.581343,90,bottom
D18,154.725,-77.200093,90,bottom
D19,135.675,-79.581343,90,bottom
D2,192.825,-46.243843,90,bottom
D20,116.625,-79.581343,90,bottom
D21,97.575,-84.343843,90,bottom
D22,211.875,-103.393843,90,bottom
D23,192.825,-103.393843,90,bottom
D24,173.775,-98.631343,90,bottom
D25,154.725,-96.250093,90,bottom
D26,135.675,-98.631343,90,bottom
D27,116.625,-98.631343,90,bottom
D28,80.669686,-137.801957,90,bottom
D29,211.875,-122.443843,90,bottom
D3,173.775,-41.481343,90,bottom
D30,192.825,-122.443843,90,bottom
D31,173.775,-117.681343,90,bottom
D32,154.725,-115.300093,90,bottom
D33,126.980247,-119.708083,90,bottom
D34,97.16747,-128.276957,90,bottom
D4,154.725,-39.100093,90,bottom
D5,135.675,-41.481343,90,bottom
D6,116.625,-41.481343,90,bottom
D7,97.575,-46.243843,90,bottom
D8,211.875,-65.293843,90,bottom
D9,192.825,-65.293843,90,bottom
U2,72.039998,-61.91,270,bottom
